pathway name	database/source	gene count	raw P-value	adjusted P-value/FDR
immune system process	GO:BP	16	7.11552992194803e-05	0.00413594261728068
immune response	GO:BP	14	7.11552992194803e-05	0.00413594261728068
defense response	GO:BP	13	8.9305504170476e-05	0.00413594261728068
interleukin-12-mediated signaling pathway	GO:BP	3	0.000123893243372141	0.00413594261728068
response to interleukin-12	GO:BP	3	0.000138741725332601	0.00413594261728068
cellular response to interleukin-12	GO:BP	3	0.000138741725332601	0.00413594261728068
regulation of immune response	GO:BP	10	0.000138741725332601	0.00413594261728068
cell activation	GO:BP	10	0.000144658209871145	0.00413594261728068
positive regulation of immune response	GO:BP	9	0.000153365204973229	0.00413594261728068
response to molecule of bacterial origin	GO:BP	6	0.000153365204973229	0.00413594261728068
Immune System	REAC	14	0.000159074716049257	0.00413594261728068
Interleukin-35 Signalling	REAC	3	0.000159074716049257	0.00413594261728068
Cytokine Signaling in Immune system	REAC	9	0.000280596297873733	0.00637549845051781
leukocyte activation	GO:BP	9	0.000286080058677081	0.00637549845051781
cellular response to molecule of bacterial origin	GO:BP	5	0.000684731308604032	0.0142424112189639
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	6	0.000837804436616834	0.0151281003589733
regulation of cytokine production	GO:BP	8	0.000872775020709999	0.0151281003589733
cytokine production	GO:BP	8	0.000872775020709999	0.0151281003589733
cellular response to biotic stimulus	GO:BP	5	0.00092345441542662	0.0151640935585845
response to stress	GO:BP	16	0.00106556616260326	0.016106348627816
response to lipopolysaccharide	GO:BP	5	0.00112951398726249	0.016106348627816
positive regulation of immune system process	GO:BP	9	0.0011357040699101	0.016106348627816
response to virus	GO:BP	6	0.00132162075464147	0.0179280728455712
response to lipid	GO:BP	7	0.00143308478921856	0.0179523936013896
adaptive immune response	GO:BP	6	0.00143849307703442	0.0179523936013896
cell-cell adhesion	GO:BP	8	0.00162905677071293	0.0181966534785196
regulation of interleukin-17 production	GO:BP	3	0.00163303300448253	0.0181966534785196
interleukin-17 production	GO:BP	3	0.00163303300448253	0.0181966534785196
cellular response to cytokine stimulus	GO:BP	7	0.00179257328589612	0.0189891218756494
regulation of immune system process	GO:BP	10	0.00191555646699897	0.0189891218756494
signal transduction	GO:BP	19	0.00191555646699897	0.0189891218756494
positive regulation of response to stimulus	GO:BP	12	0.00235398169662133	0.0189891218756494
lymphocyte activation	GO:BP	7	0.00235398169662133	0.0189891218756494
cellular response to stimulus	GO:BP	21	0.00235398169662133	0.0189891218756494
cellular response to lipid	GO:BP	6	0.00242872647690519	0.0189891218756494
inflammatory response	GO:BP	7	0.00270271505895901	0.0189891218756494
response to cytokine	GO:BP	7	0.00270271505895901	0.0189891218756494
cytokine-mediated signaling pathway	GO:BP	6	0.00270271505895901	0.0189891218756494
response to peptide	GO:BP	7	0.00270271505895901	0.0189891218756494
response to external stimulus	GO:BP	11	0.00298226593559878	0.0189891218756494
immune response-activating signaling pathway	GO:BP	6	0.00298226593559878	0.0189891218756494
alpha-beta T cell activation	GO:BP	4	0.00298226593559878	0.0189891218756494
positive regulation of alpha-beta T cell activation	GO:BP	3	0.00298226593559878	0.0189891218756494
response to external biotic stimulus	GO:BP	9	0.00298226593559878	0.0189891218756494
positive regulation of metabolic process	GO:BP	14	0.00298226593559878	0.0189891218756494
response to bacterium	GO:BP	6	0.00298226593559878	0.0189891218756494
positive regulation of NK T cell activation	GO:BP	2	0.00298226593559878	0.0189891218756494
response to other organism	GO:BP	9	0.00298226593559878	0.0189891218756494
cellular response to lipopolysaccharide	GO:BP	4	0.00298226593559878	0.0189891218756494
positive regulation of type II interferon production	GO:BP	3	0.00333235402064155	0.0199941241238493
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	4	0.00333235402064155	0.0199941241238493
response to biotic stimulus	GO:BP	9	0.00333235402064155	0.0199941241238493
signaling	GO:BP	19	0.00346467591926651	0.0201516785254014
regulation of cellular process	GO:BP	26	0.00354784510306725	0.0201516785254014
cell communication	GO:BP	19	0.00361855915320097	0.0201516785254014
Interleukin-12 signaling	REAC	3	0.00362597035679859	0.0201516785254014
Interleukin-23 signaling	REAC	2	0.0036815566536791	0.0201516785254014
negative regulation of interleukin-17 production	GO:BP	2	0.00379926720566383	0.0204374373821916
immune response-regulating signaling pathway	GO:BP	6	0.00404674295832629	0.0207933267374737
regulation of adaptive immune response	GO:BP	4	0.00412622120870847	0.0207933267374737
cellular response to virus	GO:BP	3	0.00412622120870847	0.0207933267374737
regulation of NK T cell activation	GO:BP	2	0.00423464403220602	0.0207933267374737
Interleukin-12 family signaling	REAC	3	0.00426012116199773	0.0207933267374737
activation of immune response	GO:BP	6	0.00452471278697858	0.0207933267374737
regulation of multicellular organismal process	GO:BP	12	0.00460817187637561	0.0207933267374737
